cc,desciel,dh,dirvienc,dirvieng,dloc,ides,idmun,lat,lon,ndia,nes,nmun,prec,probprec,raf,tmax,tmin,velvien,day
91.56,Cielo cubierto,6,Este,72.28,20220531T00,20,341,17.561,-97.4826,3,Oaxaca,San Pedro Yucunama,1.12,95.0,11.43,18.65,11.69,5.01,2022-05-31
95.7,Cielo cubierto,6,Este,77.26,20220528T00,20,342,16.9704,-96.7555,0,Oaxaca,San Raymundo Jalpan,0.22,0.0,13.65,22.99,14.62,5.61,2022-05-28
95.83,Cielo cubierto,6,Sureste,116.16,20220529T00,20,342,16.9704,-96.7555,1,Oaxaca,San Raymundo Jalpan,3.63,95.0,17.68,25.14,14.53,7.31,2022-05-29
95.83,Cielo cubierto,6,Sur,180.11,20220530T00,20,342,16.9704,-96.7555,2,Oaxaca,San Raymundo Jalpan,28.73,95.0,35.62,19.76,14.39,8.06,2022-05-30
91.67,Cielo cubierto,6,Suroeste,211.42,20220531T00,20,342,16.9704,-96.7555,3,Oaxaca,San Raymundo Jalpan,3.03,95.0,9.32,19.87,13.6,4.25,2022-05-31
95.76,Cielo cubierto,6,Este,75.18,20220528T00,20,350,17.0585,-96.6721,0,Oaxaca,San Sebastián Tutla,0.72,80.0,13.44,21.79,13.97,5.86,2022-05-28
95.83,Cielo cubierto,6,Este,111.41,20220529T00,20,350,17.0585,-96.6721,1,Oaxaca,San Sebastián Tutla,5.65,95.0,17.68,23.77,14.18,7.8,2022-05-29
95.83,Cielo cubierto,6,Sur,172.77,20220530T00,20,350,17.0585,-96.6721,2,Oaxaca,San Sebastián Tutla,34.84,95.0,29.65,18.58,13.74,8.4,2022-05-30
91.66,Cielo cubierto,6,Sur,200.64,20220531T00,20,350,17.0585,-96.6721,3,Oaxaca,San Sebastián Tutla,5.8,95.0,7.83,18.74,13.21,3.82,2022-05-31
92.51,Cielo cubierto,6,Este,95.17,20220528T00,20,354,18.2106,-96.9064,0,Oaxaca,Santa Ana Ateixtlahuaca,7.63,95.0,16.32,25.12,15.69,6.14,2022-05-28
95.41,Cielo cubierto,6,Este,101.19,20220529T00,20,354,18.2106,-96.9064,1,Oaxaca,Santa Ana Ateixtlahuaca,2.3,95.0,11.49,25.32,17.62,5.27,2022-05-29
95.83,Cielo cubierto,6,Este,94.22,20220530T00,20,354,18.2106,-96.9064,2,Oaxaca,Santa Ana Ateixtlahuaca,17.95,95.0,9.41,20.41,16.75,4.16,2022-05-30
91.37,Cielo cubierto,6,Sureste,150.58,20220531T00,20,354,18.2106,-96.9064,3,Oaxaca,Santa Ana Ateixtlahuaca,6.91,95.0,8.49,18.98,16.34,3.5,2022-05-31
